         610281 function calls (544240 primitive calls) in 0.968 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
      250    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amax)
      250    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amin)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
   892/77    0.001    0.000    0.548    0.007 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      508    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      198    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      508    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      310    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    275/2    0.000    0.000    0.786    0.393 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2047    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      744    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      326    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      186    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  186/184    0.000    0.000    0.265    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    186/2    0.001    0.000    0.812    0.406 <frozen importlib._bootstrap>:663(_load_unlocked)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      508    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      195    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    198/2    0.001    0.000    0.813    0.406 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    198/2    0.001    0.000    0.813    0.406 <frozen importlib._bootstrap>:978(_find_and_load)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    36/35    0.000    0.000    0.262    0.007 <frozen importlib._bootstrap_external>:1040(create_module)
    36/30    0.000    0.000    0.043    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      439    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      190    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      190    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      372    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      290    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      435    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      145    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1879    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1879    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    145/2    0.000    0.000    0.812    0.406 <frozen importlib._bootstrap_external>:722(exec_module)
      770    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      145    0.001    0.000    0.252    0.002 <frozen importlib._bootstrap_external>:793(get_code)
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      145    0.002    0.000    0.236    0.002 <frozen importlib._bootstrap_external>:914(get_data)
      235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      574    0.000    0.000    0.000    0.000 <string>:1(__new__)
